Sample	posterior	likelihood	prior	treeLikelihood.sequences_anotated_aligned	treeHeight.t:sequences_anotated_aligned	treeLength.t:sequences_anotated_aligned	Tree.t:sequences_anotated_aligned.count_adult_to_old	Tree.t:sequences_anotated_aligned.count_adult_to_young	Tree.t:sequences_anotated_aligned.count_old_to_adult	Tree.t:sequences_anotated_aligned.count_old_to_young	Tree.t:sequences_anotated_aligned.count_young_to_adult	Tree.t:sequences_anotated_aligned.count_young_to_old	Tree.t:sequences_anotated_aligned.count_adult	Tree.t:sequences_anotated_aligned.count_old	Tree.t:sequences_anotated_aligned.count_young	rootTypeLogger.t:sequences_anotated_aligned	R0.t:sequences_anotated_aligned.1	R0.t:sequences_anotated_aligned.2	R0.t:sequences_anotated_aligned.3	samplingProportion.t:sequences_anotated_aligned.1	samplingProportion.t:sequences_anotated_aligned.2	samplingProportion.t:sequences_anotated_aligned.3	samplingProportion.t:sequences_anotated_aligned.4	samplingProportion.t:sequences_anotated_aligned.5	samplingProportion.t:sequences_anotated_aligned.6	becomeUninfectiousRate.t:sequences_anotated_aligned.1	becomeUninfectiousRate.t:sequences_anotated_aligned.2	becomeUninfectiousRate.t:sequences_anotated_aligned.3	rateMatrix.t:sequences_anotated_aligned.1	rateMatrix.t:sequences_anotated_aligned.2	rateMatrix.t:sequences_anotated_aligned.3	rateMatrix.t:sequences_anotated_aligned.4	rateMatrix.t:sequences_anotated_aligned.5	rateMatrix.t:sequences_anotated_aligned.6	geo-frequencies.t:sequences_anotated_aligned.1	geo-frequencies.t:sequences_anotated_aligned.2	geo-frequencies.t:sequences_anotated_aligned.3	clockRate.c:sequences_anotated_aligned	kappa.s:sequences_anotated_aligned	proportionInvariant.s:sequences_anotated_aligned	gammaShape.s:sequences_anotated_aligned	freqParameter.s:sequences_anotated_aligned.1	freqParameter.s:sequences_anotated_aligned.2	freqParameter.s:sequences_anotated_aligned.3	freqParameter.s:sequences_anotated_aligned.4
10000000	-47787.17246055957	-48865.001111740465	1077.828651180896	-48865.001111740465	0.8597359446842695	32.51776587650128	90	0	1	0	36	8	49	143	8	1	0.946982649798442	1.0050730874033127	0.3534286885916643	0.0	0.0022898724249344497	0.0	8.39188796964387E-6	0.0	0.2771535107845213	1045.4842295146168	1045.4842295146168	1045.4842295146168	0.4458597202287514	3.059219521885418	0.4805455179093672	0.006892733258076629	2.2717403334698267	0.7923074608118132	0.34	0.33	0.33	8.168576466433179E-4	4.8623948895816165	0.733553845716971	1.0131305789647393	0.29796060283047016	0.17750992173876884	0.19482910752909774	0.3297003679016623
11000000	-47872.01483920812	-48864.278848569316	992.2640093612007	-48864.278848569316	0.833908148363327	31.484559531439533	92	0	0	0	38	6	48	144	8	1	0.9219405540135404	1.01026982072077	0.42998679236154697	0.0	0.00622228916599719	0.0	6.19393358888303E-5	0.0	0.16311741443598735	529.3672757013494	529.3672757013494	529.3672757013494	0.29542485807239494	3.6730568160258725	1.0187873588772558	0.025532243733309163	0.678329681884535	1.2476335734035353	0.34	0.33	0.33	8.957594214792986E-4	5.922501788513117	0.6882865727565343	0.9211523747349538	0.29017943824773135	0.18370969580752988	0.19504830578708196	0.33106256015765584
12000000	-47801.845839826696	-48874.26332986143	1072.4174900347373	-48874.26332986143	0.7758645726321823	31.112587690704125	92	0	1	0	37	6	48	143	9	1	0.8859621289786218	1.0046371012949054	0.26939023067490747	0.0	0.007017449840013581	0.0	4.664932399506507E-5	0.0	0.28875675085011737	634.1342240488909	634.1342240488909	634.1342240488909	0.7879460766698652	4.452713567106019	0.8702635688165761	0.005674731152911813	0.5976168880289244	0.5448836065706361	0.34	0.33	0.33	8.396694271076533E-4	5.331149536170883	0.8275433566869622	2.002505455634262	0.2914979113541809	0.18139807597501365	0.19362101209979737	0.33348300057100716
13000000	-47895.3824365998	-48860.830160489655	965.4477238898576	-48860.830160489655	0.9186349113050254	30.97307907062239	87	0	0	0	32	10	47	143	10	1	0.9073256241999665	1.010450580107751	0.5435148287408836	0.0	0.008312709168645937	0.0	3.09010297104478E-5	0.0	0.10082252879628491	512.9233955544353	512.9233955544353	512.9233955544353	0.38608187658201165	5.310976534043126	0.5419357650829342	0.02438372944159069	0.828501334295124	0.7561673018722131	0.34	0.33	0.33	8.774797946896073E-4	5.025370018871297	0.660315458143327	0.5195563367744348	0.2957851251219786	0.1842093703101658	0.19268895913388268	0.3273165454339723
14000000	-47758.602915856645	-48860.27111009108	1101.6681942344374	-48860.27111009108	0.7026832881338806	26.709839372684776	82	0	0	0	32	13	52	141	7	1	0.9066585846016153	1.0079788467588542	0.2013632838639709	0.0	0.01582483510754122	0.0	5.511194245229846E-5	0.0	0.5919139052122391	615.9120476793507	615.9120476793507	615.9120476793507	0.4952672709964598	4.51545856096085	0.5503498913869499	0.020891444505278144	0.2985233875071641	0.259099334021395	0.34	0.33	0.33	0.0010395924592166976	5.043416490502924	0.6877266232596513	0.7911788100963802	0.2942708792156514	0.18048630723589554	0.1948191927595012	0.33042362078895116
15000000	-47850.497168135335	-48859.65266469686	1009.1554965615304	-48859.65266469686	0.7786604074884521	28.0177014038636	91	0	2	0	37	8	50	143	7	1	0.9209206089851358	1.0118072339175332	0.2861631305976367	0.0	0.012289967483461825	0.0	8.885082380694232E-5	0.0	0.15783516580294316	429.3415066840236	429.3415066840236	429.3415066840236	1.2258920685414736	10.09405321166478	0.9251442800158309	0.0497534015142738	0.16913139363204105	0.19220148709781937	0.34	0.33	0.33	0.0010254057992921132	5.4520487187599755	0.7835469300741033	1.752571579504414	0.29415070807062244	0.17887842904363924	0.19543825746483043	0.3315326054209073
16000000	-47878.570981431476	-48851.77501045398	973.2040290225036	-48851.77501045398	0.8866499166568566	30.444109830936494	91	0	0	0	32	10	43	147	10	1	0.8012955273237655	1.0146530040691453	0.7019968438796824	0.0	0.035718832853761755	0.0	2.0060718200934916E-4	0.0	0.2517781917285591	287.11940444129806	287.11940444129806	287.11940444129806	1.2554842199305518	6.179878063442377	0.9217232511384998	0.034035705745424694	3.6471871782598964	0.009046303821897276	0.34	0.33	0.33	8.923999018080006E-4	4.903114674889968	0.5779020899697223	0.36631524273968546	0.2944360534485086	0.18092769543411447	0.19084305198582346	0.333793199131553
17000000	-47881.38365819988	-48853.52887749418	972.1452192943028	-48853.52887749418	0.8548476017844339	27.530588414985697	80	0	0	0	19	20	41	146	13	1	0.8441901513562923	1.0136698986271506	0.6109364986984038	0.0	0.02630849421453553	0.0	1.2622667301401584E-4	0.0	0.14701363787559643	371.2736077033035	371.2736077033035	371.2736077033035	1.6266891228396378	3.3846651830614856	0.7985466991366801	0.08602200748612607	0.7271300829078643	0.26691569059502523	0.34	0.33	0.33	0.0010546127420008485	5.515809242431755	0.7395840452416584	0.7536060442282911	0.295472277988752	0.184084164754971	0.19100667853383962	0.32943687872243643
18000000	-47888.49585718291	-48875.38182446555	986.8859672826381	-48875.38182446555	0.7539273020611368	30.01040297062352	88	0	1	0	33	10	48	143	9	1	0.8984823913770014	1.0146006894981638	0.3943897484098441	0.0	0.014431259949276376	0.0	9.050622192962664E-5	0.0	0.4292609101989956	395.6870404861223	395.6870404861223	395.6870404861223	1.2454215719983825	3.5041891034205475	0.67877238682655	0.017457696747394277	0.018215622109587888	0.429210839798261	0.34	0.33	0.33	8.999485903431597E-4	4.417556656240975	0.7169008985454102	0.66978557626735	0.28944225762342474	0.18029731601316532	0.1968099935634793	0.3334504327999295
19000000	-47862.0446986701	-48856.92056475868	994.8758660885774	-48856.92056475868	0.7518520278144859	28.60474956654809	84	0	0	0	35	11	53	141	6	1	0.9026206487640577	1.0197272519044283	0.3427628896441044	0.0	0.022402881468936264	0.0	1.1197056345656802E-4	0.0	0.2150655755788918	336.9935964915048	336.9935964915048	336.9935964915048	2.01503936211605	7.476952562697115	0.813509979366009	0.0319387131581648	1.6883993156244002	0.226163256879291	0.34	0.33	0.33	9.093083674422774E-4	5.060895192638505	0.4846455840659633	0.23724683748568356	0.2950213325764296	0.17926950640030423	0.1931518629442221	0.3325572980790427
